Feature,Coefficient,Abs_Coefficient
is_month_end,1.127955982565874,1.127955982565874
quarter,-0.6546585520034982,0.6546585520034982
month_cos,-0.5736959701372031,0.5736959701372031
is_weekend,-0.39695062733539394,0.39695062733539394
month_sin,-0.35647474567540915,0.35647474567540915
is_month_start,-0.3008692603177034,0.3008692603177034
week,0.03221303063638302,0.03221303063638302
rma_14,-1.8938018708901041e-06,1.8938018708901041e-06
rma_7,1.8200182417134607e-06,1.8200182417134607e-06
lag_21,-3.9939010555514125e-07,3.9939010555514125e-07
lag_14,2.1443747424099475e-07,2.1443747424099475e-07
lag_7,1.603588285363574e-08,1.603588285363574e-08
