Date,Revenue,COGS
2023-01-01,3077937.05,2685011.47
2023-01-02,2771570.06,2417754.9
2023-01-03,2758086.09,2405992.28
2023-01-04,2723363.95,2375702.73
2023-01-05,2662680.63,2322766.16
2023-01-06,2639919.5,2302910.69
2023-01-07,2596716.48,2265222.91
2023-01-08,2578171.62,2249045.46
2023-01-09,2583990.97,2254121.92
2023-01-10,2588644.74,2258181.6
2023-01-11,2604863.79,2272330.15
2023-01-12,2617222.68,2283111.32
2023-01-13,2644100.76,2306558.17
2023-01-14,2636698.95,2300101.28
2023-01-15,2656557.9,2317425.06
2023-01-16,2663392.84,2323387.45
2023-01-17,2673511.93,2332214.76
2023-01-18,2635575.82,2299121.52
2023-01-19,2647814.76,2309798.05
2023-01-20,2655738.5,2316710.25
2023-01-21,2638428.81,2301610.3
2023-01-22,2661020.98,2321318.38
2023-01-23,2759053.29,2406836.01
2023-01-24,2763081.97,2410350.4
2023-01-25,2771861.99,2418009.57
2023-01-26,3081728.9,2688319.25
2023-01-27,3145319.57,2743792.02
2023-01-28,3093940.83,2698972.23
2023-01-29,3161491.35,2757899.33
2023-01-30,3358447.85,2929712.62
2023-01-31,3415564.2,2979537.56
2023-02-01,3049231.86,2659970.74
2023-02-02,3067063.79,2675526.28
2023-02-03,3003392.67,2619983.33
2023-02-04,2835324.44,2473370.48
2023-02-05,2776786.68,2422305.57
2023-02-06,2865755.4,2499916.66
2023-02-07,2773992.16,2419867.81
2023-02-08,2701277.77,2356436.04
2023-02-09,2694142.69,2350211.81
2023-02-10,2681875.74,2339510.85
2023-02-11,2639291.75,2302363.08
2023-02-12,2642697.99,2305334.48
2023-02-13,2695028.55,2350984.59
2023-02-14,2716461.51,2369681.45
2023-02-15,2714950.32,2368363.17
2023-02-16,2687729.13,2344617.01
2023-02-17,2691408.27,2347826.47
2023-02-18,2660122.52,2320534.62
2023-02-19,2657282.54,2318057.19
2023-02-20,2687746.98,2344632.58
2023-02-21,2680948.65,2338702.11
2023-02-22,2733709.7,2384727.75
2023-02-23,2729794.9,2381312.71
2023-02-24,2743299.27,2393093.13
2023-02-25,2714409.21,2367891.13
2023-02-26,2960901.03,2582916.12
2023-02-27,3098589.43,2703027.39
2023-02-28,3190969.49,2783614.33
2023-03-01,2927265.05,2553574.06
2023-03-02,2942527.97,2566888.54
2023-03-03,2965172.01,2586641.88
2023-03-04,2886970.78,2518423.71
2023-03-05,2899311.98,2529189.45
2023-03-06,3048658.38,2659470.48
2023-03-07,2984465.88,2603472.71
2023-03-08,2911545.46,2539861.22
2023-03-09,2897600.48,2527696.44
2023-03-10,2873113.37,2506335.32
2023-03-11,2769246.69,2415728.14
2023-03-12,2778096.06,2423447.8
2023-03-13,2875316.74,2508257.41
2023-03-14,2880219.83,2512534.58
2023-03-15,2835158.75,2473225.95
2023-03-16,2833302.27,2471606.46
2023-03-17,2831399.31,2469946.42
2023-03-18,2757122.44,2405151.65
2023-03-19,2719080.96,2371966.5
2023-03-20,2780710.45,2425728.44
2023-03-21,2759690.64,2407392.0
2023-03-22,2809727.22,2451040.97
2023-03-23,2808517.14,2449985.37
2023-03-24,2803176.09,2445326.15
2023-03-25,2739880.02,2390110.38
2023-03-26,2982779.8,2602001.87
2023-03-27,3114408.97,2716827.43
2023-03-28,3194575.82,2786760.28
2023-03-29,3284964.01,2865609.63
2023-03-30,3350655.7,2922915.2
2023-03-31,3424277.16,2987138.23
2023-04-01,2883519.6,2515413.1
2023-04-02,2892933.64,2523625.37
2023-04-03,2946739.5,2570562.43
2023-04-04,2889832.4,2520920.02
2023-04-05,2841889.33,2479097.31
2023-04-06,2827497.97,2466543.13
2023-04-07,2748639.18,2397751.35
2023-04-08,2646082.41,2308286.85
2023-04-09,2650610.06,2312236.5
2023-04-10,2687626.74,2344527.68
2023-04-11,2692973.73,2349192.08
2023-04-12,2698623.98,2354121.03
2023-04-13,2721375.41,2373968.04
2023-04-14,2756251.74,2404392.1
2023-04-15,2699908.51,2355241.58
2023-04-16,2680041.54,2337910.8
2023-04-17,2732226.31,2383433.73
2023-04-18,2730625.5,2382037.27
2023-04-19,2723966.77,2376228.59
2023-04-20,2721181.91,2373799.24
2023-04-21,2708140.23,2362422.44
2023-04-22,2733373.32,2384434.32
2023-04-23,2730540.76,2381963.36
2023-04-24,2796955.13,2439899.35
2023-04-25,2812760.57,2453687.09
2023-04-26,3135891.47,2735567.5
2023-04-27,3194158.72,2786396.43
2023-04-28,3291410.72,2871233.36
2023-04-29,3273012.86,2855184.15
2023-04-30,3328374.74,2903478.59
2023-05-01,3183898.91,2777446.37
2023-05-02,3221170.52,2809959.94
2023-05-03,3262346.65,2845879.57
2023-05-04,3213803.19,2803533.1
2023-05-05,3137357.84,2736846.68
2023-05-06,3039627.61,2651592.56
2023-05-07,2955734.89,2578409.48
2023-05-08,2956814.95,2579351.66
2023-05-09,2895269.34,2525662.89
2023-05-10,2877729.65,2510362.29
2023-05-11,2840705.61,2478064.7
2023-05-12,2824563.98,2463983.69
2023-05-13,2735387.11,2386191.02
2023-05-14,2737849.98,2388339.49
2023-05-15,2792230.81,2435778.13
2023-05-16,2798674.3,2441399.05
2023-05-17,2750262.42,2399167.37
2023-05-18,2751185.98,2399973.03
2023-05-19,2743248.38,2393048.73
2023-05-20,2696487.05,2352256.9
2023-05-21,2695098.9,2351045.95
2023-05-22,2800979.85,2443410.28
2023-05-23,2798202.99,2440987.91
2023-05-24,2793474.6,2436863.14
2023-05-25,2814218.1,2454958.55
2023-05-26,3159533.16,2756191.12
2023-05-27,3114922.37,2717275.29
2023-05-28,3205792.16,2796544.75
2023-05-29,3417385.42,2981126.29
2023-05-30,3502629.66,3055488.35
2023-05-31,3564704.36,3109638.67
2023-06-01,3339319.49,2913026.16
2023-06-02,3401998.83,2967703.93
2023-06-03,3279845.76,2861144.77
2023-06-04,3244286.08,2830124.59
2023-06-05,3320683.74,2896769.42
2023-06-06,3319886.98,2896074.38
2023-06-07,3222378.27,2811013.5
2023-06-08,3077536.34,2684661.91
2023-06-09,3053283.96,2663505.56
2023-06-10,2885285.87,2516953.89
2023-06-11,2847768.23,2484225.71
2023-06-12,2912400.59,2540607.19
2023-06-13,2897968.83,2528017.76
2023-06-14,2887086.21,2518524.41
2023-06-15,2847762.5,2484220.71
2023-06-16,2774630.49,2420424.64
2023-06-17,2714192.6,2367702.18
2023-06-18,2709097.69,2363257.68
2023-06-19,2757848.78,2405785.27
2023-06-20,2758622.6,2406460.3
2023-06-21,2755456.77,2403698.61
2023-06-22,2804184.6,2446205.91
2023-06-23,2800694.07,2443160.98
2023-06-24,2759057.33,2406839.53
2023-06-25,2777722.46,2423121.9
2023-06-26,3199897.0,2791402.17
2023-06-27,3272918.12,2855101.5
2023-06-28,3387526.86,2955079.43
2023-06-29,3512123.06,3063769.84
2023-06-30,3575429.57,3118994.71
2023-07-01,3017482.38,2632274.36
2023-07-02,3055032.96,2665031.29
2023-07-03,3206469.62,2797135.73
2023-07-04,3154696.05,2751971.51
2023-07-05,3077497.84,2684628.33
2023-07-06,3077885.53,2684966.52
2023-07-07,2967556.33,2588721.81
2023-07-08,2758826.39,2406638.08
2023-07-09,2729583.48,2381128.28
2023-07-10,2799140.44,2441805.68
2023-07-11,2777666.91,2423073.44
2023-07-12,2774114.87,2419974.85
2023-07-13,2780420.29,2425475.33
2023-07-14,2800695.76,2443162.45
2023-07-15,2713765.26,2367329.39
2023-07-16,2726387.09,2378339.94
2023-07-17,2747943.72,2397144.67
2023-07-18,2751966.64,2400654.03
2023-07-19,2744776.07,2394381.4
2023-07-20,2738941.27,2389291.47
2023-07-21,2732645.36,2383799.29
2023-07-22,2763894.04,2411058.8
2023-07-23,2759344.18,2407089.77
2023-07-24,2814827.72,2455490.34
2023-07-25,2835199.23,2473261.26
2023-07-26,3188734.49,2781664.65
2023-07-27,3249108.13,2834331.06
2023-07-28,3363374.6,2934010.42
2023-07-29,3387423.57,2954989.32
2023-07-30,3462512.79,3020492.76
2023-07-31,3606439.16,3146045.66
2023-08-01,3291969.52,2871720.82
2023-08-02,3341635.55,2915046.55
2023-08-03,3299294.86,2878111.02
2023-08-04,3229609.56,2817321.65
2023-08-05,3045608.35,2656809.81
2023-08-06,3012900.41,2628277.33
2023-08-07,3005586.11,2621896.76
2023-08-08,2856491.54,2491835.42
2023-08-09,2831484.4,2470020.65
2023-08-10,2788320.76,2432367.23
2023-08-11,2763691.06,2410881.73
2023-08-12,2686850.73,2343850.73
2023-08-13,2693561.77,2349705.05
2023-08-14,2768200.27,2414815.3
2023-08-15,2754497.44,2402861.76
2023-08-16,2715426.63,2368778.68
2023-08-17,2724252.92,2376478.21
2023-08-18,2724320.38,2376537.06
2023-08-19,2678885.08,2336901.98
2023-08-20,2682409.72,2339976.66
2023-08-21,2729983.67,2381477.38
2023-08-22,2792452.23,2435971.28
2023-08-23,2788208.1,2432268.95
2023-08-24,2807647.26,2449226.54
2023-08-25,2834324.23,2472497.96
2023-08-26,3092878.3,2698045.34
2023-08-27,3159071.73,2755788.59
2023-08-28,3373144.36,2942532.99
2023-08-29,3496976.2,3050556.61
2023-08-30,3559628.59,3105210.87
2023-08-31,3626316.17,3163385.2
2023-09-01,3276565.46,2858283.22
2023-09-02,3215025.67,2804599.53
2023-09-03,3173422.64,2768307.49
2023-09-04,3232054.89,2819454.82
2023-09-05,3148471.51,2746541.59
2023-09-06,3122138.63,2723570.33
2023-09-07,2975131.27,2595329.75
2023-09-08,2828031.99,2467008.97
2023-09-09,2733506.79,2384550.74
2023-09-10,2706019.83,2360572.73
2023-09-11,2753079.8,2401625.09
2023-09-12,2733637.69,2384664.94
2023-09-13,2738338.02,2388765.23
2023-09-14,2745751.97,2395232.72
2023-09-15,2732290.01,2383489.29
2023-09-16,2660936.58,2321244.75
2023-09-17,2666772.02,2326335.25
2023-09-18,2709742.53,2363820.2
2023-09-19,2706424.68,2360925.9
2023-09-20,2715412.19,2368766.08
2023-09-21,2711706.31,2365533.28
2023-09-22,2776169.13,2421766.86
2023-09-23,2723998.57,2376256.34
2023-09-24,2736882.56,2387495.57
2023-09-25,2812584.15,2453533.18
2023-09-26,3157871.84,2754741.89
2023-09-27,3229435.38,2817169.71
2023-09-28,3354114.09,2925932.1
2023-09-29,3479564.67,3035367.81
2023-09-30,3459833.74,3018155.71
2023-10-01,2843327.11,2480351.54
2023-10-02,2944380.98,2568505.0
2023-10-03,2957123.36,2579620.71
2023-10-04,2888788.28,2520009.19
2023-10-05,2810352.09,2451586.07
2023-10-06,2788124.79,2432196.27
2023-10-07,2664662.17,2324494.74
2023-10-08,2618549.02,2284268.33
2023-10-09,2636530.3,2299954.15
2023-10-10,2640782.17,2303663.23
2023-10-11,2640412.54,2303340.79
2023-10-12,2650426.22,2312076.13
2023-10-13,2665181.75,2324947.99
2023-10-14,2655607.28,2316595.78
2023-10-15,2647539.87,2309558.26
2023-10-16,2697365.75,2353023.42
2023-10-17,2668542.14,2327879.4
2023-10-18,2669449.79,2328671.18
2023-10-19,2660939.19,2321247.03
2023-10-20,2652428.69,2313822.97
2023-10-21,2624113.75,2289122.68
2023-10-22,2682751.31,2340274.64
2023-10-23,2721954.87,2374473.53
2023-10-24,2717763.83,2370817.51
2023-10-25,2730724.77,2382123.88
2023-10-26,3001867.58,2618652.93
2023-10-27,3050729.82,2661277.48
2023-10-28,3023711.76,2637708.51
2023-10-29,3091579.27,2696912.14
2023-10-30,3277959.16,2859499.0
2023-10-31,3334540.86,2908857.56
2023-11-01,2874992.95,2507974.96
2023-11-02,2881083.67,2513288.15
2023-11-03,2833096.14,2471426.64
2023-11-04,2718974.19,2371873.36
2023-11-05,2689719.56,2346353.33
2023-11-06,2739091.61,2389422.62
2023-11-07,2685919.13,2343038.06
2023-11-08,2638748.28,2301888.98
2023-11-09,2641583.25,2304362.04
2023-11-10,2641485.96,2304277.18
2023-11-11,2618590.67,2284304.67
2023-11-12,2621847.29,2287145.56
2023-11-13,2670608.22,2329681.72
2023-11-14,2696717.09,2352457.57
2023-11-15,2691105.04,2347561.95
2023-11-16,2668628.59,2327954.82
2023-11-17,2670433.37,2329529.2
2023-11-18,2640942.5,2303803.1
2023-11-19,2637195.44,2300534.38
2023-11-20,2657997.11,2318680.54
2023-11-21,2651186.98,2312739.78
2023-11-22,2704061.85,2358864.71
2023-11-23,2701107.85,2356287.81
2023-11-24,2708773.02,2362974.46
2023-11-25,2677641.01,2335816.72
2023-11-26,2870396.54,2503965.32
2023-11-27,2997244.57,2614620.09
2023-11-28,3062645.5,2671672.02
2023-11-29,3136469.03,2736071.33
2023-11-30,3182400.09,2776138.89
2023-12-01,2783051.65,2427770.77
2023-12-02,2722735.83,2375154.79
2023-12-03,2723452.74,2375780.18
2023-12-04,2758965.56,2406759.48
2023-12-05,2718392.39,2371365.83
2023-12-06,2723811.47,2376093.12
2023-12-07,2684680.88,2341957.89
2023-12-08,2646353.36,2308523.21
2023-12-09,2616755.08,2282703.41
2023-12-10,2620607.12,2286063.7
2023-12-11,2655833.57,2316793.19
2023-12-12,2665742.61,2325437.26
2023-12-13,2676405.48,2334738.92
2023-12-14,2697287.83,2352955.45
2023-12-15,2689862.61,2346478.13
2023-12-16,2657415.4,2318173.09
2023-12-17,2643026.33,2305620.9
2023-12-18,2673251.79,2331987.82
